Ref. Des.,QTY,Value,MPN,Description,Package,Manufacturer
"C1, C6",2,10u,TMK316B7106KL-TD,CAPACITOR MLCC X7R 10u 1206 25V ±10%,smd-capacitor-1206,Taiyo Yuden
"C2, C3, C7, C8",4,100n,MC0603B104K500CT,CAPACITOR MLCC 100NF X7R 0603 50V ±10%,smd-capacitor-0603,Multicomp
"C4, C5",2,47p,MC0603N470J500CT,CAPACITOR MLCC 47PF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,Multicomp
"C9, C10",2,22p,MC0603N220J500CT,CAPACITOR MLCC 22PF C0G/NP0 0603 50V ±5%,smd-capacitor-0603,Multicomp
D4,1,S1A,S1A,DIODE RECTIFIER 50V 1A SMA,smd-diode-do-214,ON Semiconductor
IC1,1,FT230XS-R,FT230XS-R,USB IC USB TO SERIAL UART IC,smd-generic-qsop-16,FTDI
ICSP,1,SOICBite,SOICBite,SOICBite ISCP,soicbite,""
J1,1,KUSBX-SMT2AP5S-W,KUSBX-SMT2AP5S-W,USB CONNECTOR TYPE A  MALE SMD,smd-connector-usb-kusbx-smt2ap5s-w,Kycon
J2,1,S6B-PH-K-S,S6B-PH-K-S,HEADER PH MALE 1X6 PINS 2MM PITCH ANGLED,th-connector-s6b-ph-knockoff,KNOCKOFF
PWR,1,APT1608SGC,APT1608SGC,LED GREEN CLEAR CHIP SMD 0603,smd-led-0603,Kingbright
"R1, R2",2,27R,CRCW060327R0FKEA,RESISTOR 27 OHM 1% 1/10W 0603,smd-resistor-0603,Vishay
R3,1,4.7k,CRCW06034K70FKEA,RESISTOR 4.7K OHM 1% 1/10W 0603,smd-resistor-0603,Vishay
"R4, R8",2,10k,CRCW060310K0FKEA,RESISTOR 10K OHM 1% 1/10W 0603,smd-resistor-0603,Vishay
"R5, R6, R7",3,330R,CRCW0603330RFKEA,RESISTOR 330R OHM 1% 1/10W 0603,smd-resistor-0603,Vishay
"R9, R10",2,2.2k,CRCW06032K20FKEA,RESISTOR 2.2K OHM 1% 1/10W 0603,smd-resistor-0603,Vishay
"RX, TX",2,APT1608EC,APT1608EC,LED RED CLEAR CHIP SMD 0603,smd-led-0603,Kingbright
U1,1,ATMEGA328PB-AU,ATMEGA328PB-AU,IC MCU 8BIT 32KB FLASH 32TQFP,smd-generic-tqfp-32,Atmel
X1,1,ABM10-166-12.000MHZ-T3,ABM10-166-12.000MHZ-T3,CRYSTAL 12.0 MHZ 10PPM 8PF,smd-crystal-2.5x2mm,Abracon
